--, IBI
1460.144962,0.765660
1460.941874,0.796911
1473.317440,0.765660
1474.098726,0.781286
1474.911263,0.812537
1475.723800,0.812537
1479.692732,0.796911
1480.489643,0.796911
1481.302181,0.812537
1507.147114,0.796911
1527.866812,0.812537
1528.663724,0.796911
1529.366881,0.703157
1530.195044,0.828163
1530.960704,0.765660
1538.820439,0.781286
1539.617350,0.796911
1540.398636,0.781286
1541.195547,0.796911
1541.976833,0.781286
1542.758119,0.781286
1543.555030,0.796911
1544.336316,0.781286
1545.148853,0.812537
1545.930139,0.781286
1546.711425,0.781286
1547.508336,0.796911
1548.289622,0.781286
1549.070908,0.781286
1549.852194,0.781286
1550.633479,0.781286
1551.430391,0.796911
1552.227302,0.796911
1553.024214,0.796911
1553.821125,0.796911
1554.602411,0.781286
1555.383697,0.781286
1556.164983,0.781286
1562.368392,0.765660
1563.165303,0.796911
1563.930963,0.765660
1564.727875,0.796911
1565.509160,0.781286
1566.274820,0.765660
1567.071732,0.796911
1567.853018,0.781286
1568.649929,0.796911
1569.431215,0.781286
1570.118746,0.687531
1570.993786,0.875040
1571.743821,0.750034
1572.540732,0.796911
1573.337644,0.796911
1574.150181,0.812537
1574.915841,0.765660
1575.744004,0.828163
1576.540915,0.796911
1577.353452,0.812537
1578.181615,0.828163
1578.978527,0.796911
1579.775438,0.796911
1580.619227,0.843789
1581.416138,0.796911
1582.259927,0.843789
1583.041213,0.781286
1583.853750,0.812537
1584.681913,0.828163
1585.494450,0.812537
1586.291362,0.796911
1587.072647,0.781286
1587.885185,0.812537
1588.682096,0.796911
1589.479007,0.796911
1590.275919,0.796911
1591.057205,0.781286
1591.885368,0.828163
1592.666653,0.781286
1598.870062,0.796911
1599.573220,0.703157
1611.433137,0.781286
1612.230049,0.796911
1613.011335,0.781286
1613.855123,0.843789
1614.636409,0.781286
1641.356382,0.734409
1662.997998,0.890666
1663.701155,0.703157
1674.264138,0.750034
1675.092301,0.828163
1675.842336,0.750034
1676.733001,0.890666
